,SUBCAT,DESCRICAO
649,B661,Clonorquíase
650,B662,Dicrocelíase
651,B663,Fasciolíase
652,B664,Paragonimíase
653,B665,Fasciolopsíase
654,B668,Outras infestações por trematódeos especificados
655,B669,Infecção não especificada por trematódeo
656,B670,Infestação hepática por Echinococcus granulosus
657,B671,Infestação pulmonar por Echinococcus granulosus
658,B672,Infestação óssea por Echinococcus granulosus
659,B673,"Infestações por Echinmococcus granulosus, outras e de localizações múltiplas"
660,B674,Infestação não especificada por Echinococcus granulosus
661,B675,Infestação hepática por Echinococcus multilocularis
662,B676,"Infecções por Echinococcus multilocularis, outras e de localizações múltiplas"
663,B677,Infestação não especificada por Echinococcus multilocularis
664,B678,"Infestação hepática não especificada, por Echinococcus"
665,B679,"Infestações por Echinococcus, outras e as não especificadas"
666,B680,Infestação por Taenia solium
667,B681,Infestação por Taenia saginata
668,B689,Infestação não especificada por Taenia
669,B690,Cisticercose do sistema nervoso central
670,B691,Cisticercose do olho
671,B698,Cisticercose de outras localizações
672,B699,Cisticercose não especificada
673,B700,Difilobotríase
674,B701,Esparganose
675,B710,Infestação por Hymenolepis
676,B711,Infestação por Dipylidium
677,B718,Outras infestações especificadas por cestóides
678,B719,Infestação não especificada por cestóides
679,B72,Dracontíase
680,B73,Oncocercose
681,B740,Filariose por Wuchereria bancrofti
682,B741,Filariose por Brugia malayi
683,B742,Filariose por Brugia timori
684,B743,Loaíase
685,B744,Mansonelose
686,B748,Outras filarioses
687,B749,Filariose não especificada
688,B75,Triquinose
689,B760,Ancilostomose
690,B761,Necatoríase
691,B768,Outras ancilostomíases
692,B769,Ancilostomíase não especificada
693,B770,Ascaridíase com complicações intestinais
694,B778,Ascaridíase com outras complicações
695,B779,Ascaridíase não especificada
696,B780,Estrongiloidíase intestinal
697,B781,Estrongiloidíase cutânea
698,B787,Estrongiloidíase disseminada
699,B789,Estrongiloidíase não especificada
700,B79,Tricuríase
701,B80,Oxiuríase
702,B810,Anisaquíase
703,B811,Capilaríase intestinal
704,B812,Tricostrongilose
705,B813,Angiostrongilíase intestinal
706,B814,Helmintíases intestinais mistas
707,B818,Outras helmintíases intestinais especificadas
708,B820,Helmintíase intestinal não especificada
709,B829,Parasitose intestinal não especificada
710,B830,Larva migrans visceral
711,B831,Gnatostomíase
712,B832,Angrostrongilíase devida a Parastrongylus cantonensis
713,B833,Singamose
714,B834,Hirudiníase interna
715,B838,Outras helmintíases especificadas
716,B839,Helmintíase não especificada
717,B850,Pediculose devida a Pediculus humanus capitis
718,B851,Pediculose devida a Pediculus humanus corporis
719,B852,Pediculose não especificada
720,B853,Ftiríase
721,B854,Pediculose e ftiríase mista
722,B86,Escabiose [sarna]
723,B870,Miíase cutânea
724,B871,Miíase das feridas
725,B872,Miíase ocular
726,B873,Miíase nasofaríngea
727,B874,Miíase auricular
728,B878,Miíase de outras localizações
729,B879,Miíase não especificada
730,B880,Outras acaríases
731,B881,Tungíase [infestação pela pulga da areia]
732,B882,Outras infestações por artrópodos
733,B883,Hirudiníase externa
734,B888,Outras infestações especificadas
735,B889,Infestação não especificada
736,B89,Doença parasitária não especificada
737,B900,Seqüelas de tuberculose do sistema nervoso central
738,B901,Seqüelas de tuberculose geniturinária
739,B902,Seqüelas de tuberculose óssea e das articulações
740,B908,Seqüelas de tuberculose de outros órgãos
741,B909,Seqüelas de tuberculose das vias respiratórias e de órgãos não especificados
742,B91,Seqüelas de poliomielite
743,B92,Seqüelas de hanseníase [lepra]
744,B940,Seqüelas de tracoma
745,B941,Seqüelas de encefalite viral
746,B942,Seqüelas de hepatite viral
747,B948,Seqüelas de outras doenças infecciosas e parasitárias especificadas
748,B949,Seqüelas de doença infecciosa ou parasitária não especificada
749,B950,"Estreptococo do grupo A, como causa de doenças classificadas em outros capítulos"
750,B951,"Estreptococo do grupo B, como causa de doenças classificadas em outros capítulos"
751,B952,"Estreptococo do grupo D, como causa de doenças classificadas em outros capítulos"
752,B953,"Streptococcus pneumoniae, como causa de doenças classificadas em outros capítulos"
753,B954,"Outros estreptococos, como causa de doenças classificadas em outros capítulos"
754,B955,"Estreptococo não especificado, como causa de doenças classificadas em outros capítulos"
755,B956,"Staphylococcus aureus, como causa de doenças classificadas em outros capítulos"
756,B957,Outros estafilococos como causa de doenças classificadas em outros capítulos
757,B958,"Estafilococo não especificado, como causa de doenças classificadas em outros capítulos"
758,B960,"Mycoplasma pneumoniae [M. pneumoniae], como causa de doenças classificadas em outros capítulos"
759,B961,"Klebsiella pneumoniae [M. pneumoniae], como causa de doenças classificadas em outros capítulos"
760,B962,"Escherichia coli [E. Coli], como causa de doenças classificadas em outros capítulos"
761,B963,"Haemophilus influenzae [H. influenzae], como causa de doenças classificadas em outros capítulos"
762,B964,"Proteus (mirabilis) (morganii), como causa de doenças classificadas em outros capítulos"
763,B965,"Pseudomonas (aeruginosa) (mallei) (pseudomallei), como causa de doenças classificadas em outros capítulos"
764,B966,"Bacillus fragilis [B. fragilis], como causa de doenças classificadas em outros capítulos"
765,B967,"Clostridium perfringens [C. perfringens], como causa de doenças classificadas em outros capítulos"
766,B968,"Outros agentes bacterianos especificados, como causa de doenças classificadas em outros capítulos"
767,B970,"Adenovírus, como causa de doenças classificadas em outros capítulos"
768,B971,"Enterovírus, como causa de doenças classificadas em outros capítulos"
769,B972,"Coronavírus, como causa de doenças classificadas em outros capítulos"
770,B973,"Retrovírus, como causa de doenças classificadas em outros capítulos"
771,B974,"Vírus sincicial respiratório, como causa de doenças classificadas em outros capítulos"
772,B975,"Reovírus, como causa de doenças classificadas em outros capítulos"
773,B976,"Parvovírus, como causa de doenças classificadas em outros capítulos"
774,B977,"Papilomavírus, como causa de doenças classificadas em outros capítulos"
775,B978,"Outros agentes virais, como causa de doenças classificadas em outros capítulos"
776,B99,"Doenças infecciosas, outras e as não especificadas"
777,C000,Neoplasia maligna do lábio superior externo
778,C001,Neoplasia maligna do lábio inferior externo
779,C002,"Neoplasia maligna do lábio externo, não especificado"
780,C003,"Neoplasia maligna do lábio superior, face interna"
781,C004,"Neoplasia maligna do lábio inferior, face interna"
782,C005,"Neoplasia maligna do lábio, sem especificação, face interna"
783,C006,Neoplasia maligna da comissura labial
784,C008,Neoplasia maligna do lábio com lesão invasiva
785,C009,"Neoplasia maligna do lábio, não especificado"
786,C01,Neoplasia maligna da base da língua
787,C020,Neoplasia maligna da face dorsal da língua
788,C021,Neoplasia maligna da borda da língua
789,C022,Neoplasia maligna da face ventral da língua
790,C023,"Neoplasia maligna de dois terços anteriores da língua, parte não especificada"
791,C024,Neoplasia maligna da amígdala lingual
792,C028,Neoplasia maligna da língua com lesão invasiva
793,C029,"Neoplasia maligna da língua, não especificada"
794,C030,Neoplasia maligna da gengiva superior
795,C031,Neoplasia maligna da gengiva inferior
796,C039,"Neoplasia maligna da gengiva, não especificada"
797,C040,Neoplasia maligna do assoalho anterior da boca
798,C041,Neoplasia maligna do assoalho lateral da boca
799,C048,Neoplasia maligna do assoalho da boca com lesão invasiva
800,C049,"Neoplasia maligna do assoalho da boca, não especificado"
801,C050,Neoplasia maligna do palato duro
802,C051,Neoplasia maligna do palato mole
803,C052,Neoplasia maligna da úvula
804,C058,Neoplasia maligna do palato com lesão invasiva
805,C059,"Neoplasia maligna do palato, não especificado"
806,C060,Neoplasia maligna da mucosa oral
807,C061,Neoplasia maligna do vestíbulo da boca
808,C062,Neoplasia maligna da área retromolar
809,C068,Neoplasia maligna de outras partes e de partes não especificadas da boca com lesão invasiva
810,C069,"Neoplasia maligna da boca, não especificada"
811,C07,Neoplasia maligna da glândula parótida
812,C080,Neoplasia maligna da glândula submandibular
813,C081,Neoplasia maligna da glândula sublingual
814,C088,Neoplasia maligna das glândulas salivares maiores com lesão invasiva
815,C089,"Neoplasia maligna da glândula salivar maior, não especificada"
816,C090,Neoplasia maligna da fossa amigdaliana
817,C091,Neoplasia maligna do pilar amigdaliano (anterior) (posterior)
818,C098,Neoplasia maligna da amígdala com lesão invasiva
819,C099,"Neoplasia maligna da amígdala, não especificada"
820,C100,Neoplasia maligna da valécula
821,C101,Neoplasia maligna da face anterior da epiglote
822,C102,Neoplasia maligna da parede lateral da orofaringe
823,C103,Neoplasia maligna da parede posterior da orofaringe
824,C104,Neoplasia maligna da fenda branquial
825,C108,Neoplasia maligna da orofaringe com lesão invasiva
826,C109,"Neoplasia maligna da orofaringe, não especificada"
827,C110,Neoplasia maligna da parede superior da nasofaringe
828,C111,Neoplasia maligna da parede posterior da nasofaringe
829,C112,Neoplasia maligna da parede lateral da nasofaringe
830,C113,Neoplasia maligna da parede anterior da nasofaringe
831,C118,Neoplasia maligna da nasofaringe com lesão invasiva
832,C119,"Neoplasia maligna da nasofaringe, não especificada"
833,C12,Neoplasia maligna do seio piriforme
834,C130,Neoplasia maligna da região pós-cricóidea
835,C131,"Neoplasia maligna da prega ariepiglótica, face hipofaríngea"
836,C132,Neoplasia maligna da parede posterior da hipofaringe
837,C138,Neoplasia maligna da hipofaringe com lesão invasiva
838,C139,"Neoplasia maligna da hipofaringe, não especificada"
839,C140,"Neoplasia maligna da faringe, não especificada"
840,C142,Neoplasia maligna do anel de Waldeyer
841,C148,"Neoplasia maligna do lábio, cavidade oral e faringe com lesão invasiva"
842,C150,Neoplasia maligna da porção cervical do esôfago (esôfago cervical)
843,C151,Neoplasia maligna da porção torácica do esôfago (esôfago torácico)
844,C152,Neoplasia maligna da porção abdominal do esôfago (esôfago abdominal)
845,C153,Neoplasia maligna do terço superior do esôfago
846,C154,Neoplasia maligna do terço médio do esôfago
847,C155,Neoplasia maligna do terço inferior do esôfago
848,C158,Neoplasia maligna do esôfago com lesão invasiva
849,C159,"Neoplasia maligna do esôfago, não especificado"
850,C160,Neoplasia maligna da cárdia
851,C161,Neoplasia maligna do fundo do estômago
852,C162,Neoplasia maligna do corpo do estômago
853,C163,Neoplasia maligna do antro pilórico
854,C164,Neoplasia maligna do piloro
855,C165,"Neoplasia maligna da pequena curvatura do estômago, não especificada"
856,C166,"Neoplasia maligna da grande curvatura do estômago, não especificada"
857,C168,Neoplasia maligna do estômago com lesão invasiva
858,C169,"Neoplasia maligna do estômago, não especificado"
859,C170,Neoplasia maligna do duodeno
860,C171,Neoplasia maligna do jejuno
861,C172,Neoplasia maligna do íleo
862,C173,Neoplasia maligna do divertículo de Meckel
863,C178,Neoplasia maligna do intestino delgado com lesão invasiva
864,C179,"Neoplasia maligna do intestino delgado, não especificado"
865,C180,Neoplasia maligna do ceco
866,C181,Neoplasia maligna do apêndice (vermiforme)
867,C182,Neoplasia maligna do cólon ascendente
868,C183,Neoplasia maligna da flexura (ângulo) hepática(o)
869,C184,Neoplasia maligna do cólon transverso
870,C185,Neoplasia maligna da flexura (ângulo) esplênica(o)
871,C186,Neoplasia maligna do cólon descendente
872,C187,Neoplasia maligna do cólon sigmóide
873,C188,Neoplasia maligna do cólon com lesão invasiva
874,C189,"Neoplasia maligna do cólon, não especificado"
875,C19,Neoplasia maligna da junção retossigmóide
876,C20,Neoplasia maligna do reto
877,C210,"Neoplasia maligna do ânus, não especificado"
878,C211,Neoplasia maligna do canal anal
879,C212,Neoplasia maligna da zona cloacogênica
880,C218,"Neoplasia maligna do reto, ânus e do canal anal com lesão invasiva"
881,C220,Carcinoma de células hepáticas
882,C221,Carcinoma de vias biliares intra-hepáticas
883,C222,Hepatoblastoma
884,C223,Angiossarcoma do fígado
885,C224,Outros sarcomas do fígado
886,C227,Outros carcinomas especificados do fígado
887,C229,"Neoplasia maligna do fígado, não especificada"
888,C23,Neoplasia maligna da vesícula biliar
889,C240,Neoplasia maligna das vias biliares extra-hepáticas
890,C241,Neoplasia maligna da ampola de Vater
891,C248,Neoplasia maligna das vias biliares com lesão invasiva
892,C249,"Neoplasia maligna da via biliar, não especificada"
893,C250,Neoplasia maligna da cabeça do pâncreas
894,C251,Neoplasia maligna do corpo do pâncreas
895,C252,Neoplasia maligna da cauda do pâncreas
896,C253,Neoplasia maligna do canal pancreático
897,C254,Neoplasia maligna do pâncreas endócrino
898,C257,Neoplasia maligna de outras partes do pâncreas
899,C258,Neoplasia maligna do pâncreas com lesão invasiva
900,C259,"Neoplasia maligna do pâncreas, não especificado"
