type,value,description
cid,B569,Tripanossomíase africana não especificada
cid,B570,"Forma aguda da doença de Chagas, com comprometimento cardíaco"
cid,B571,"Forma aguda da doença de Chagas, sem comprometimento cardíaco"
cid,B572,Doença de Chagas (crônica) com comprometimento cardíaco
cid,B573,Doença de Chagas (crônica) com comprometimento do aparelho digestivo
cid,B574,Doença de Chagas (crônica) com comprometimento do sistema nervoso
cid,B575,Doença de Chagas (crônica) com comprometimento de outros órgãos
cid,B580,Oculopatia por Toxoplasma
cid,B581,Hepatite por Toxoplasma
cid,B582,Meningoencefalite por Toxoplasma
cid,B583,Toxoplasmose pulmonar
cid,B588,Toxoplasmose com comprometimento de outros órgãos
cid,B589,Toxoplasmose não especificada
cid,B59,Pneumocistose
cid,B600,Babesiose
cid,B601,Acantamebíase
cid,B602,Naegleríase
cid,B608,Outras doenças especificadas devidas a protozoários
cid,B64,Doença não especificada devida a protozoários
cid,B650,Esquistossomose devida ao Schistosoma haematobium [esquistossomose urinária]
cid,B651,Esquistossomose devida ao Schistosoma mansoni [esquistossomose intestinal]
cid,B652,Esquistossomose devida ao Schistosoma japonicum
cid,B653,Dermatite por cercárias
cid,B658,Outras esquistossomoses
cid,B659,Esquistossomose não especificada
cid,B660,Opistorquíase
cid,B661,Clonorquíase
cid,B662,Dicrocelíase
cid,B663,Fasciolíase
cid,B664,Paragonimíase
cid,B665,Fasciolopsíase
cid,B668,Outras infestações por trematódeos especificados
cid,B669,Infecção não especificada por trematódeo
cid,B670,Infestação hepática por Echinococcus granulosus
cid,B671,Infestação pulmonar por Echinococcus granulosus
cid,B672,Infestação óssea por Echinococcus granulosus
cid,B673,"Infestações por Echinmococcus granulosus, outras e de localizações múltiplas"
cid,B674,Infestação não especificada por Echinococcus granulosus
cid,B675,Infestação hepática por Echinococcus multilocularis
cid,B676,"Infecções por Echinococcus multilocularis, outras e de localizações múltiplas"
cid,B677,Infestação não especificada por Echinococcus multilocularis
cid,B678,"Infestação hepática não especificada, por Echinococcus"
cid,B679,"Infestações por Echinococcus, outras e as não especificadas"
cid,B680,Infestação por Taenia solium
cid,B681,Infestação por Taenia saginata
cid,B689,Infestação não especificada por Taenia
cid,B690,Cisticercose do sistema nervoso central
cid,B691,Cisticercose do olho
cid,B698,Cisticercose de outras localizações
cid,B699,Cisticercose não especificada
cid,B700,Difilobotríase
cid,B701,Esparganose
cid,B710,Infestação por Hymenolepis
cid,B711,Infestação por Dipylidium
cid,B718,Outras infestações especificadas por cestóides
cid,B719,Infestação não especificada por cestóides
cid,B72,Dracontíase
cid,B73,Oncocercose
cid,B740,Filariose por Wuchereria bancrofti
cid,B741,Filariose por Brugia malayi
cid,B742,Filariose por Brugia timori
cid,B743,Loaíase
cid,B744,Mansonelose
cid,B748,Outras filarioses
cid,B749,Filariose não especificada
cid,B75,Triquinose
cid,B760,Ancilostomose
cid,B761,Necatoríase
cid,B768,Outras ancilostomíases
cid,B769,Ancilostomíase não especificada
cid,B770,Ascaridíase com complicações intestinais
cid,B778,Ascaridíase com outras complicações
cid,B779,Ascaridíase não especificada
cid,B780,Estrongiloidíase intestinal
cid,B781,Estrongiloidíase cutânea
cid,B787,Estrongiloidíase disseminada
cid,B789,Estrongiloidíase não especificada
cid,B79,Tricuríase
cid,B80,Oxiuríase
cid,B810,Anisaquíase
cid,B811,Capilaríase intestinal
cid,B812,Tricostrongilose
cid,B813,Angiostrongilíase intestinal
cid,B814,Helmintíases intestinais mistas
cid,B818,Outras helmintíases intestinais especificadas
cid,B820,Helmintíase intestinal não especificada
cid,B829,Parasitose intestinal não especificada
cid,B830,Larva migrans visceral
cid,B831,Gnatostomíase
cid,B832,Angrostrongilíase devida a Parastrongylus cantonensis
cid,B833,Singamose
cid,B834,Hirudiníase interna
cid,B838,Outras helmintíases especificadas
cid,B839,Helmintíase não especificada
cid,B850,Pediculose devida a Pediculus humanus capitis
cid,B851,Pediculose devida a Pediculus humanus corporis
cid,B852,Pediculose não especificada
cid,B853,Ftiríase
cid,B854,Pediculose e ftiríase mista
cid,B86,Escabiose [sarna]
cid,B870,Miíase cutânea
cid,B871,Miíase das feridas
cid,B872,Miíase ocular
cid,B873,Miíase nasofaríngea
cid,B874,Miíase auricular
cid,B878,Miíase de outras localizações
cid,B879,Miíase não especificada
cid,B880,Outras acaríases
cid,B881,Tungíase [infestação pela pulga da areia]
cid,B882,Outras infestações por artrópodos
cid,B883,Hirudiníase externa
cid,B888,Outras infestações especificadas
cid,B889,Infestação não especificada
cid,B89,Doença parasitária não especificada
cid,B900,Seqüelas de tuberculose do sistema nervoso central
cid,B901,Seqüelas de tuberculose geniturinária
cid,B902,Seqüelas de tuberculose óssea e das articulações
cid,B908,Seqüelas de tuberculose de outros órgãos
cid,B909,Seqüelas de tuberculose das vias respiratórias e de órgãos não especificados
cid,B91,Seqüelas de poliomielite
cid,B92,Seqüelas de hanseníase [lepra]
cid,B940,Seqüelas de tracoma
cid,B941,Seqüelas de encefalite viral
cid,B942,Seqüelas de hepatite viral
cid,B948,Seqüelas de outras doenças infecciosas e parasitárias especificadas
cid,B949,Seqüelas de doença infecciosa ou parasitária não especificada
cid,B950,"Estreptococo do grupo A, como causa de doenças classificadas em outros capítulos"
cid,B951,"Estreptococo do grupo B, como causa de doenças classificadas em outros capítulos"
cid,B952,"Estreptococo do grupo D, como causa de doenças classificadas em outros capítulos"
cid,B953,"Streptococcus pneumoniae, como causa de doenças classificadas em outros capítulos"
cid,B954,"Outros estreptococos, como causa de doenças classificadas em outros capítulos"
cid,B955,"Estreptococo não especificado, como causa de doenças classificadas em outros capítulos"
cid,B956,"Staphylococcus aureus, como causa de doenças classificadas em outros capítulos"
cid,B957,Outros estafilococos como causa de doenças classificadas em outros capítulos
cid,B958,"Estafilococo não especificado, como causa de doenças classificadas em outros capítulos"
cid,B960,"Mycoplasma pneumoniae [M. pneumoniae], como causa de doenças classificadas em outros capítulos"
cid,B961,"Klebsiella pneumoniae [M. pneumoniae], como causa de doenças classificadas em outros capítulos"
cid,B962,"Escherichia coli [E. Coli], como causa de doenças classificadas em outros capítulos"
cid,B963,"Haemophilus influenzae [H. influenzae], como causa de doenças classificadas em outros capítulos"
cid,B964,"Proteus (mirabilis) (morganii), como causa de doenças classificadas em outros capítulos"
cid,B965,"Pseudomonas (aeruginosa) (mallei) (pseudomallei), como causa de doenças classificadas em outros capítulos"
cid,B966,"Bacillus fragilis [B. fragilis], como causa de doenças classificadas em outros capítulos"
cid,B967,"Clostridium perfringens [C. perfringens], como causa de doenças classificadas em outros capítulos"
cid,B968,"Outros agentes bacterianos especificados, como causa de doenças classificadas em outros capítulos"
cid,B970,"Adenovírus, como causa de doenças classificadas em outros capítulos"
cid,B971,"Enterovírus, como causa de doenças classificadas em outros capítulos"
cid,B972,"Coronavírus, como causa de doenças classificadas em outros capítulos"
cid,B973,"Retrovírus, como causa de doenças classificadas em outros capítulos"
cid,B974,"Vírus sincicial respiratório, como causa de doenças classificadas em outros capítulos"
cid,B975,"Reovírus, como causa de doenças classificadas em outros capítulos"
cid,B976,"Parvovírus, como causa de doenças classificadas em outros capítulos"
cid,B977,"Papilomavírus, como causa de doenças classificadas em outros capítulos"
cid,B978,"Outros agentes virais, como causa de doenças classificadas em outros capítulos"
cid,B99,"Doenças infecciosas, outras e as não especificadas"
cid,C000,Neoplasia maligna do lábio superior externo
cid,C001,Neoplasia maligna do lábio inferior externo
cid,C002,"Neoplasia maligna do lábio externo, não especificado"
cid,C003,"Neoplasia maligna do lábio superior, face interna"
cid,C004,"Neoplasia maligna do lábio inferior, face interna"
cid,C005,"Neoplasia maligna do lábio, sem especificação, face interna"
cid,C006,Neoplasia maligna da comissura labial
cid,C008,Neoplasia maligna do lábio com lesão invasiva
cid,C009,"Neoplasia maligna do lábio, não especificado"
cid,C01,Neoplasia maligna da base da língua
cid,C020,Neoplasia maligna da face dorsal da língua
cid,C021,Neoplasia maligna da borda da língua
cid,C022,Neoplasia maligna da face ventral da língua
cid,C023,"Neoplasia maligna de dois terços anteriores da língua, parte não especificada"
cid,C024,Neoplasia maligna da amígdala lingual
cid,C028,Neoplasia maligna da língua com lesão invasiva
cid,C029,"Neoplasia maligna da língua, não especificada"
cid,C030,Neoplasia maligna da gengiva superior
cid,C031,Neoplasia maligna da gengiva inferior
cid,C039,"Neoplasia maligna da gengiva, não especificada"
cid,C040,Neoplasia maligna do assoalho anterior da boca
cid,C041,Neoplasia maligna do assoalho lateral da boca
cid,C048,Neoplasia maligna do assoalho da boca com lesão invasiva
cid,C049,"Neoplasia maligna do assoalho da boca, não especificado"
cid,C050,Neoplasia maligna do palato duro
cid,C051,Neoplasia maligna do palato mole
cid,C052,Neoplasia maligna da úvula
cid,C058,Neoplasia maligna do palato com lesão invasiva
cid,C059,"Neoplasia maligna do palato, não especificado"
cid,C060,Neoplasia maligna da mucosa oral
cid,C061,Neoplasia maligna do vestíbulo da boca
cid,C062,Neoplasia maligna da área retromolar
cid,C068,Neoplasia maligna de outras partes e de partes não especificadas da boca com lesão invasiva
cid,C069,"Neoplasia maligna da boca, não especificada"
cid,C07,Neoplasia maligna da glândula parótida
cid,C080,Neoplasia maligna da glândula submandibular
cid,C081,Neoplasia maligna da glândula sublingual
cid,C088,Neoplasia maligna das glândulas salivares maiores com lesão invasiva
cid,C089,"Neoplasia maligna da glândula salivar maior, não especificada"
cid,C090,Neoplasia maligna da fossa amigdaliana
cid,C091,Neoplasia maligna do pilar amigdaliano (anterior) (posterior)
cid,C098,Neoplasia maligna da amígdala com lesão invasiva
cid,C099,"Neoplasia maligna da amígdala, não especificada"
cid,C100,Neoplasia maligna da valécula
cid,C101,Neoplasia maligna da face anterior da epiglote
cid,C102,Neoplasia maligna da parede lateral da orofaringe
cid,C103,Neoplasia maligna da parede posterior da orofaringe
cid,C104,Neoplasia maligna da fenda branquial
cid,C108,Neoplasia maligna da orofaringe com lesão invasiva
cid,C109,"Neoplasia maligna da orofaringe, não especificada"
cid,C110,Neoplasia maligna da parede superior da nasofaringe
cid,C111,Neoplasia maligna da parede posterior da nasofaringe
cid,C112,Neoplasia maligna da parede lateral da nasofaringe
cid,C113,Neoplasia maligna da parede anterior da nasofaringe
cid,C118,Neoplasia maligna da nasofaringe com lesão invasiva
cid,C119,"Neoplasia maligna da nasofaringe, não especificada"
cid,C12,Neoplasia maligna do seio piriforme
cid,C130,Neoplasia maligna da região pós-cricóidea
cid,C131,"Neoplasia maligna da prega ariepiglótica, face hipofaríngea"
cid,C132,Neoplasia maligna da parede posterior da hipofaringe
cid,C138,Neoplasia maligna da hipofaringe com lesão invasiva
cid,C139,"Neoplasia maligna da hipofaringe, não especificada"
cid,C140,"Neoplasia maligna da faringe, não especificada"
cid,C142,Neoplasia maligna do anel de Waldeyer
cid,C148,"Neoplasia maligna do lábio, cavidade oral e faringe com lesão invasiva"
cid,C150,Neoplasia maligna da porção cervical do esôfago (esôfago cervical)
cid,C151,Neoplasia maligna da porção torácica do esôfago (esôfago torácico)
cid,C152,Neoplasia maligna da porção abdominal do esôfago (esôfago abdominal)
cid,C153,Neoplasia maligna do terço superior do esôfago
cid,C154,Neoplasia maligna do terço médio do esôfago
cid,C155,Neoplasia maligna do terço inferior do esôfago
cid,C158,Neoplasia maligna do esôfago com lesão invasiva
cid,C159,"Neoplasia maligna do esôfago, não especificado"
cid,C160,Neoplasia maligna da cárdia
cid,C161,Neoplasia maligna do fundo do estômago
cid,C162,Neoplasia maligna do corpo do estômago
cid,C163,Neoplasia maligna do antro pilórico
cid,C164,Neoplasia maligna do piloro
cid,C165,"Neoplasia maligna da pequena curvatura do estômago, não especificada"
cid,C166,"Neoplasia maligna da grande curvatura do estômago, não especificada"
cid,C168,Neoplasia maligna do estômago com lesão invasiva
cid,C169,"Neoplasia maligna do estômago, não especificado"
cid,C170,Neoplasia maligna do duodeno
cid,C171,Neoplasia maligna do jejuno
cid,C172,Neoplasia maligna do íleo
cid,C173,Neoplasia maligna do divertículo de Meckel
cid,C178,Neoplasia maligna do intestino delgado com lesão invasiva
cid,C179,"Neoplasia maligna do intestino delgado, não especificado"
cid,C180,Neoplasia maligna do ceco
cid,C181,Neoplasia maligna do apêndice (vermiforme)
cid,C182,Neoplasia maligna do cólon ascendente
cid,C183,Neoplasia maligna da flexura (ângulo) hepática(o)
cid,C184,Neoplasia maligna do cólon transverso
cid,C185,Neoplasia maligna da flexura (ângulo) esplênica(o)
cid,C186,Neoplasia maligna do cólon descendente
cid,C187,Neoplasia maligna do cólon sigmóide
cid,C188,Neoplasia maligna do cólon com lesão invasiva
cid,C189,"Neoplasia maligna do cólon, não especificado"
cid,C19,Neoplasia maligna da junção retossigmóide
cid,C20,Neoplasia maligna do reto
cid,C210,"Neoplasia maligna do ânus, não especificado"
cid,C211,Neoplasia maligna do canal anal
cid,C212,Neoplasia maligna da zona cloacogênica
cid,C218,"Neoplasia maligna do reto, ânus e do canal anal com lesão invasiva"
cid,C220,Carcinoma de células hepáticas
cid,C221,Carcinoma de vias biliares intra-hepáticas
cid,C222,Hepatoblastoma
cid,C223,Angiossarcoma do fígado
cid,C224,Outros sarcomas do fígado
cid,C227,Outros carcinomas especificados do fígado
cid,C229,"Neoplasia maligna do fígado, não especificada"
cid,C23,Neoplasia maligna da vesícula biliar
cid,C240,Neoplasia maligna das vias biliares extra-hepáticas
cid,C241,Neoplasia maligna da ampola de Vater
cid,C248,Neoplasia maligna das vias biliares com lesão invasiva
cid,C249,"Neoplasia maligna da via biliar, não especificada"
cid,C250,Neoplasia maligna da cabeça do pâncreas
cid,C251,Neoplasia maligna do corpo do pâncreas
cid,C252,Neoplasia maligna da cauda do pâncreas
cid,C253,Neoplasia maligna do canal pancreático
cid,C254,Neoplasia maligna do pâncreas endócrino
cid,C257,Neoplasia maligna de outras partes do pâncreas
